Symbol,Nifty 50,Nifty Next 50,Nifty 500,Nifty 750,Nifty Midcap 150,Nifty smallcap 250
MOTILALOFS,,,MUTHOOTFIN,IRB,,
MPHASIS,,,NATCOPHARM,IRCON,,
MCX,,,NBCC,ITC,,
MUTHOOTFIN,,,NCC,ITDCEM,,
NATCOPHARM,,,NHPC,ITI,,
NBCC,,,NLCINDIA,IMAGICAA,,
NCC,,,NMDC,INDGN,,
NHPC,,,NSLNISP,INDIACEM,,
NLCINDIA,,,NTPCGREEN,INDIAGLYCO,,
NMDC,,,NTPC,INDIASHLTR,,
NSLNISP,,,NH,INDIAMART,,
NTPC,,,NATIONALUM,INDIANB,,
NH,,,NAVA,IEX,,
NATIONALUM,,,NAVINFLUOR,INDHOTEL,,
NAVINFLUOR,,,NESTLEIND,IMFA,,
NESTLEIND,,,NETWEB,IOC,,
NETWEB,,,NETWORK18,IOB,,
NETWORK18,,,NEULANDLAB,IRCTC,,
NEWGEN,,,NEWGEN,IRFC,,
NAM-INDIA,,,NAM-INDIA,IREDA,,
NUVAMA,,,NIVABUPA,INDIGOPNTS,,
NUVOCO,,,NUVAMA,ICIL,,
OBEROIRLTY,,,OBEROIRLTY,IGL,,
ONGC,,,ONGC,INDUSTOWER,,
OIL,,,OIL,INDUSINDBK,,
OLECTRA,,,OLAELEC,INFIBEAM,,
PAYTM,,,OLECTRA,NAUKRI,,
OFSS,,,PAYTM,INFY,,
POLICYBZR,,,OFSS,INGERRAND,,
PCBL,,,POLICYBZR,INNOVACAP,,
PIIND,,,PCBL,INOXGREEN,,
PNBHOUSING,,,PGEL,INOXWIND,,
PNCINFRA,,,PIIND,INTELLECT,,
PTCIL,,,PNBHOUSING,INDIGO,,
PVRINOX,,,PNCINFRA,IGIL,,
PAGEIND,,,PTCIL,IKS,,
PATANJALI,,,PVRINOX,IONEXCHANG,,
PERSISTENT,,,PAGEIND,IPCALAB,,
PETRONET,,,PATANJALI,ISGEC,,
PFIZER,,,PERSISTENT,JBCHEPHARM,,
PHOENIXLTD,,,PETRONET,JKCEMENT,,
PIDILITIND,,,PFIZER,JKIL,,
PEL,,,PHOENIXLTD,JBMA,,
PPLPHARMA,,,PIDILITIND,JKLAKSHMI,,
POLYMED,,,PEL,JKPAPER,,
POLYCAB,,,PPLPHARMA,JKTYRE,,
POONAWALLA,,,POLYMED,JMFINANCIL,,
PFC,,,POLYCAB,JSWENERGY,,
POWERGRID,,,POONAWALLA,JSWHL,,
PRAJIND,,,PFC,JSWINFRA,,
PRESTIGE,,,POWERGRID,JSWSTEEL,,
PGHH,,,PRAJIND,JTLIND,,
PNB,,,PREMIERENE,JAIBALAJI,,
QUESS,,,PRESTIGE,JAICORPLTD,,
RRKABEL,,,PNB,JISLJALEQS,,
RBLBANK,,,RRKABEL,JPPOWER,,
RECLTD,,,RBLBANK,J&KBANK,,
RHIM,,,RECLTD,JAMNAAUTO,,
RITES,,,RHIM,JSFB,,
RADICO,,,RITES,JINDALSAW,,
RVNL,,,RADICO,JSL,,
RAILTEL,,,RVNL,JINDALSTEL,,
RAINBOW,,,RAILTEL,JINDWORLD,,
RAJESHEXPO,,,RAINBOW,JIOFIN,,
RKFORGE,,,RKFORGE,JCHAC,,
RCF,,,RCF,JUBLFOOD,,
RATNAMANI,,,RTNINDIA,JUBLINGREA,,
RTNINDIA,,,RAYMONDLSL,JUBLPHARMA,,
RAYMOND,,,RAYMOND,JWL,,
REDINGTON,,,REDINGTON,JUSTDIAL,,
RELIANCE,,,RELIANCE,JYOTHYLAB,,
ROUTE,,,RPOWER,JYOTICNC,,
SBFC,,,ROUTE,KPRMILL,,
SBICARD,,,SBFC,KEI,,
SBILIFE,,,SBICARD,KNRCON,,
SJVN,,,SBILIFE,KPIGREEN,,
SKFINDIA,,,SJVN,KPITTECH,,
SRF,,,SKFINDIA,KRBL,,
SAMMAANCAP,,,SRF,KSB,,
MOTHERSON,,,SAGILITY,KAJARIACER,,
SANOFI,,,SAILIFE,KPIL,,
SAPPHIRE,,,SAMMAANCAP,KALYANKJIL,,
SAREGAMA,,,MOTHERSON,KSL,,
SCHAEFFLER,,,SAPPHIRE,KANSAINER,,
SCHNEIDER,,,SARDAEN,KTKBANK,,
SCI,,,SAREGAMA,KARURVYSYA,,
SHREECEM,,,SCHAEFFLER,KSCL,,
RENUKA,,,SCHNEIDER,KAYNES,,
SHRIRAMFIN,,,SCI,KEC,,
SHYAMMETL,,,SHREECEM,KFINTECH,,
SIEMENS,,,RENUKA,KIRLOSBROS,,
SIGNATURE,,,SHRIRAMFIN,KIRLOSENG,,
SOBHA,,,SHYAMMETL,KIRLPNU,,
SOLARINDS,,,SIEMENS,KOTAKBANK,,
SONACOMS,,,SIGNATURE,KIMS,,
SONATSOFTW,,,SOBHA,LTF,,
STARHEALTH,,,SOLARINDS,LTTS,,
SBIN,,,SONACOMS,LICHSGFIN,,
SAIL,,,SONATSOFTW,LMW,,
SWSOLAR,,,STARHEALTH,LTFOODS,,
SUMICHEM,,,SBIN,LTIM,,
SPARC,,,SAIL,LT,,
